mill_id,date,recipe_id,planned_hours,actual_hours,status,changeover_hours,tons_produced
M3,2020-02-15,R5,0.9,0.89,completed,0.0,18.3
M1,2020-02-16,R2,15.63,15.83,completed,0.0,862.92
M1,2020-02-16,R1,4.87,4.7,completed,1.5,229.25
M2,2020-02-16,R3,8.43,8.29,completed,0.0,338.1
M2,2020-02-16,R4,6.82,6.74,completed,1.5,307.46
M2,2020-02-16,R1,3.75,3.76,completed,1.5,156.42
M3,2020-02-16,R1,2.55,2.54,completed,0.0,55.55
M3,2020-02-16,R5,1.55,1.52,completed,2.0,31.5
M1,2020-02-17,R2,15.29,15.34,completed,0.0,844.2
M1,2020-02-17,R1,5.21,5.38,completed,1.5,245.22
M2,2020-02-17,R3,9.13,8.79,completed,0.0,366.14
M2,2020-02-17,R4,6.42,6.51,completed,1.5,289.48
M2,2020-02-17,R1,3.45,3.49,completed,1.5,143.9
M3,2020-02-17,R1,2.54,2.63,completed,0.0,55.43
M3,2020-02-17,R5,1.56,1.58,completed,2.0,31.62
M1,2020-02-18,R2,15.21,15.36,completed,0.0,839.47
M1,2020-02-18,R1,5.29,5.41,completed,1.5,249.26
M2,2020-02-18,R3,9.28,9.11,completed,0.0,372.3
M2,2020-02-18,R4,6.48,6.53,completed,1.5,292.34
M2,2020-02-18,R1,3.23,3.24,completed,1.5,134.84
M3,2020-02-18,R1,2.6,2.58,completed,0.0,56.58
M3,2020-02-18,R5,1.5,1.45,completed,2.0,30.54
M1,2020-02-19,R2,15.46,15.2,completed,0.0,853.21
M1,2020-02-19,R1,5.04,4.95,completed,1.5,237.54
M2,2020-02-19,R3,8.71,8.86,completed,0.0,349.2
M2,2020-02-19,R4,6.53,6.75,completed,1.5,294.58
M2,2020-02-19,R1,3.76,3.68,completed,1.5,156.79
M3,2020-02-19,R1,2.56,2.47,completed,0.0,55.85
M3,2020-02-19,R5,1.54,1.6,completed,2.0,31.22
M1,2020-02-20,R2,15.14,15.37,completed,0.0,835.7
M1,2020-02-20,R1,5.36,5.53,completed,1.5,252.48
M2,2020-02-20,R3,9.29,9.03,completed,0.0,372.68
M2,2020-02-20,R4,6.44,6.6,completed,1.5,290.65
M2,2020-02-20,R1,3.26,3.34,completed,1.5,136.02
M3,2020-02-20,R1,2.66,2.59,completed,0.0,58.08
M3,2020-02-20,R5,1.44,1.4,completed,2.0,29.14
M1,2020-02-21,R2,9.63,9.48,completed,0.0,531.75
M1,2020-02-21,R1,5.37,5.25,completed,1.5,252.78
M2,2020-02-21,R3,5.88,6.1,completed,0.0,235.59
M2,2020-02-21,R4,4.31,4.26,completed,1.5,194.46
M2,2020-02-21,R1,1.51,1.54,completed,1.5,62.99
M3,2020-02-21,R5,0.9,0.92,completed,0.0,18.33
M1,2020-02-22,R2,4.46,4.42,completed,0.0,246.03
M1,2020-02-22,R1,3.23,3.28,completed,1.5,152.05
M1,2020-02-22,R3,2.57,2.49,completed,2.5,114.09
M1,2020-02-22,R4,0.75,0.74,completed,1.5,37.48
M2,2020-02-22,R4,1.14,1.19,completed,0.0,51.63
M2,2020-02-22,R5,0.46,0.44,completed,2.0,18.07
M2,2020-02-23,R2,7.51,7.44,completed,0.0,352.15
M2,2020-02-23,R1,5.53,5.66,completed,1.5,230.68
M2,2020-02-23,R3,4.66,4.72,completed,2.5,186.93
M3,2020-02-23,R4,3.14,3.17,completed,0.0,72.74
M3,2020-02-23,R5,0.76,0.78,completed,2.0,15.48
M1,2020-02-24,R2,15.37,14.79,completed,0.0,848.58
M1,2020-02-24,R1,5.13,5.24,completed,1.5,241.49
M2,2020-02-24,R3,8.89,9.16,completed,0.0,356.46
M2,2020-02-24,R4,6.51,6.26,completed,1.5,293.63
M2,2020-02-24,R1,3.6,3.62,completed,1.5,150.12
M3,2020-02-24,R1,2.58,2.55,completed,0.0,56.2
M3,2020-02-24,R5,1.52,1.47,completed,2.0,30.9
M1,2020-02-25,R2,15.19,15.09,completed,0.0,838.71
M1,2020-02-25,R1,5.31,5.37,completed,1.5,249.91
M2,2020-02-25,R3,9.28,9.6,completed,0.0,372.28
M2,2020-02-25,R4,6.44,6.5,completed,1.5,290.39
M2,2020-02-25,R1,3.28,3.37,completed,1.5,136.66
M3,2020-02-25,R1,2.6,2.52,completed,0.0,56.7
M3,2020-02-25,R5,1.5,1.46,completed,2.0,30.43
M1,2020-02-26,R2,15.49,16.07,completed,0.0,855.08
M1,2020-02-26,R1,5.01,5.16,completed,1.5,235.94
M2,2020-02-26,R3,8.58,8.4,completed,0.0,344.2
M2,2020-02-26,R1,6.59,6.65,completed,1.5,274.75
M2,2020-02-26,R4,3.83,3.79,completed,1.5,172.63
M3,2020-02-26,R4,2.53,2.52,completed,0.0,58.67
M3,2020-02-26,R5,1.57,1.62,completed,2.0,31.9
M1,2020-02-27,R2,15.27,15.56,completed,0.0,843.09
M1,2020-02-27,R1,5.23,5.12,completed,1.5,246.18
M2,2020-02-27,R3,9.07,8.94,completed,0.0,363.76
M2,2020-02-27,R4,6.67,6.56,completed,1.5,300.91
M2,2020-02-27,R1,3.26,3.33,completed,1.5,135.8
M3,2020-02-27,R1,2.66,2.66,completed,0.0,58.03
M3,2020-02-27,R5,1.44,1.49,completed,2.0,29.2
M1,2020-02-28,R2,9.73,9.98,completed,0.0,537.07
M1,2020-02-28,R1,5.27,5.15,completed,1.5,248.24
M2,2020-02-28,R3,5.63,5.75,completed,0.0,225.57
M2,2020-02-28,R4,4.16,4.16,completed,1.5,187.46
M2,2020-02-28,R1,1.87,1.83,completed,1.5,77.87
M3,2020-02-28,R5,0.95,0.94,completed,0.0,19.3
M1,2020-02-29,R2,9.65,10.02,completed,0.0,532.89
M1,2020-02-29,R1,5.35,5.34,completed,1.5,251.8
M2,2020-02-29,R3,5.8,5.9,completed,0.0,232.42
M2,2020-02-29,R4,4.04,4.03,completed,1.5,182.15
M2,2020-02-29,R1,1.8,1.78,completed,1.5,75.01
M3,2020-02-29,R5,0.97,0.99,completed,0.0,19.62
M1,2020-03-01,R2,15.52,15.96,completed,0.0,856.87
M1,2020-03-01,R1,4.98,4.81,completed,1.5,234.42
M2,2020-03-01,R3,8.66,8.51,completed,0.0,347.2
M2,2020-03-01,R4,6.59,6.59,completed,1.5,297.02
M2,2020-03-01,R1,3.76,3.7,completed,1.5,156.62
M3,2020-03-01,R1,2.52,2.58,completed,0.0,54.9
M3,2020-03-01,R5,1.58,1.53,completed,2.0,32.11
M1,2020-03-02,R2,15.2,15.56,completed,0.0,838.96
M1,2020-03-02,R1,5.3,5.35,completed,1.5,249.69
M2,2020-03-02,R3,9.36,9.2,completed,0.0,375.19
M2,2020-03-02,R4,6.44,6.36,completed,1.5,290.62
M2,2020-03-02,R1,3.2,3.12,completed,1.5,133.43
M3,2020-03-02,R1,2.56,2.51,completed,0.0,55.91
M3,2020-03-02,R5,1.54,1.56,completed,2.0,31.17
M1,2020-03-03,R2,15.37,15.22,completed,0.0,848.38
M1,2020-03-03,R1,5.13,5.21,completed,1.5,241.66
M2,2020-03-03,R3,9.0,9.01,completed,0.0,360.96
M2,2020-03-03,R4,6.61,6.42,completed,1.5,298.11
M2,2020-03-03,R1,3.39,3.39,completed,1.5,141.3
M3,2020-03-03,R1,2.56,2.61,completed,0.0,55.8
M3,2020-03-03,R5,1.54,1.52,completed,2.0,31.27
M1,2020-03-04,R2,15.37,15.55,completed,0.0,848.22
M1,2020-03-04,R1,5.13,5.01,completed,1.5,241.8
M2,2020-03-04,R3,8.91,8.65,completed,0.0,357.3
M2,2020-03-04,R4,6.4,6.33,completed,1.5,288.69
M2,2020-03-04,R1,3.69,3.66,completed,1.5,153.82
M3,2020-03-04,R1,2.55,2.6,completed,0.0,55.53
M3,2020-03-04,R5,1.55,1.55,completed,2.0,31.52
M1,2020-03-05,R2,7.56,7.3,completed,0.0,417.07
M1,2020-03-05,R1,5.41,5.46,completed,1.5,254.58
M1,2020-03-05,R3,4.61,4.6,completed,2.5,204.85
M3,2020-03-05,R4,3.26,3.22,completed,0.0,75.66
M3,2020-03-05,R5,0.76,0.78,completed,2.0,15.51
M1,2020-03-06,R2,9.59,9.32,completed,0.0,529.31
M1,2020-03-06,R1,5.41,5.59,completed,1.5,254.86
M2,2020-03-06,R3,5.86,5.78,completed,0.0,235.02
M2,2020-03-06,R4,4.05,4.04,completed,1.5,182.82
M2,2020-03-06,R1,1.77,1.83,completed,1.5,73.94
M3,2020-03-06,R5,0.91,0.93,completed,0.0,18.52
M1,2020-03-07,R2,9.63,9.3,completed,0.0,531.41
M1,2020-03-07,R1,5.37,5.41,completed,1.5,253.07
M2,2020-03-07,R3,5.85,5.76,completed,0.0,234.72
M2,2020-03-07,R4,4.02,4.03,completed,1.5,181.42
M2,2020-03-07,R1,1.76,1.79,completed,1.5,73.41
