date,flour_type,required_tons
2020-03-22,Patent,51.489999999999995
2020-03-22,Superior,110.99
2020-03-22,Superior Brown,10.5
2020-03-23,Bakery,98.09
2020-03-23,Brown,32.89
2020-03-23,Patent,50.8
2020-03-23,Superior,128.58
2020-03-23,Superior Brown,11.87
2020-03-24,Bakery,92.13
2020-03-24,Brown,30.2
2020-03-24,Patent,50.22
2020-03-24,Superior,126.81
2020-03-24,Superior Brown,11.38
2020-03-25,Bakery,96.27
2020-03-25,Brown,26.1
2020-03-25,Patent,56.71000000000001
2020-03-25,Superior,121.72999999999999
2020-03-25,Superior Brown,9.96
2020-03-26,Bakery,96.8
2020-03-26,Brown,33.25
2020-03-26,Patent,53.31
2020-03-26,Superior,120.69
2020-03-26,Superior Brown,11.22
2020-03-27,Bakery,76.92999999999999
2020-03-27,Brown,27.55
2020-03-27,Patent,42.7
2020-03-27,Superior,104.61
2020-03-27,Superior Brown,8.86
2020-03-28,Bakery,76.83
2020-03-28,Brown,27.0
2020-03-28,Patent,49.120000000000005
2020-03-28,Superior,100.56
2020-03-28,Superior Brown,9.22
2020-03-29,Bakery,97.17
2020-03-29,Brown,32.519999999999996
2020-03-29,Patent,53.7
2020-03-29,Superior,128.95
2020-03-29,Superior Brown,11.55
2020-03-30,Bakery,90.05000000000001
2020-03-30,Brown,32.33
2020-03-30,Patent,50.16
2020-03-30,Superior,124.56
2020-03-30,Superior Brown,12.04
2020-03-31,Bakery,88.96
2020-03-31,Brown,33.49
2020-03-31,Patent,59.31
2020-03-31,Superior,115.78999999999999
2020-03-31,Superior Brown,9.61
2020-04-01,Bakery,96.00999999999999
2020-04-01,Brown,32.79
2020-04-01,Patent,57.03
2020-04-01,Superior,110.78999999999999
2020-04-01,Superior Brown,13.11
2020-04-02,Bakery,93.03
2020-04-02,Brown,32.18
2020-04-02,Patent,50.400000000000006
2020-04-02,Superior,121.05000000000001
2020-04-02,Superior Brown,11.4
2020-04-03,Bakery,79.56
2020-04-03,Brown,25.06
2020-04-03,Patent,42.73
2020-04-03,Superior,105.68
2020-04-03,Superior Brown,10.59
2020-04-04,Bakery,77.61
2020-04-04,Brown,24.55
2020-04-04,Patent,48.81
2020-04-04,Superior,103.14
2020-04-04,Superior Brown,11.5
2020-04-05,Bakery,93.23
2020-04-05,Brown,32.57
2020-04-05,Patent,51.07
2020-04-05,Superior,122.07
2020-04-05,Superior Brown,11.6
2020-04-06,Bakery,97.48
2020-04-06,Brown,32.49
2020-04-06,Patent,53.21
2020-04-06,Superior,129.15
2020-04-06,Superior Brown,11.01
2020-04-07,Bakery,89.63
2020-04-07,Brown,34.0
2020-04-07,Patent,54.34
2020-04-07,Superior,120.35
2020-04-07,Superior Brown,10.64
2020-04-08,Bakery,81.85
2020-04-08,Brown,27.14
2020-04-08,Patent,54.28
2020-04-08,Superior,109.27
2020-04-08,Superior Brown,12.68
2020-04-09,Bakery,92.29
2020-04-09,Brown,26.58
2020-04-09,Patent,43.17
2020-04-09,Superior,106.03
2020-04-09,Superior Brown,10.0
2020-04-10,Bakery,80.17
2020-04-10,Brown,27.349999999999998
2020-04-10,Patent,41.16
2020-04-10,Superior,98.94
2020-04-10,Superior Brown,9.31
2020-04-11,Bakery,79.28
2020-04-11,Brown,27.33
2020-04-11,Patent,43.05
2020-04-11,Superior,99.69
2020-04-11,Superior Brown,10.81
2020-04-12,Bakery,96.45
2020-04-12,Brown,29.61
2020-04-12,Patent,54.96
2020-04-12,Superior,117.23
2020-04-12,Superior Brown,11.52
2020-04-13,Bakery,84.91
2020-04-13,Brown,31.29
2020-04-13,Patent,49.620000000000005
2020-04-13,Superior,127.96
2020-04-13,Superior Brown,12.11
2020-04-14,Bakery,87.96
2020-04-14,Brown,26.97
2020-04-14,Patent,53.69
2020-04-14,Superior,117.92999999999999
2020-04-14,Superior Brown,13.21
2020-04-15,Bakery,89.37
2020-04-15,Brown,28.650000000000002
2020-04-15,Patent,52.92
2020-04-15,Superior,116.59
2020-04-15,Superior Brown,10.11
2020-04-16,Bakery,95.41
2020-04-16,Brown,30.36
2020-04-16,Patent,47.88
2020-04-16,Superior,125.54
2020-04-16,Superior Brown,9.39
2020-04-17,Bakery,80.44
2020-04-17,Brown,27.57
2020-04-17,Patent,43.99
2020-04-17,Superior,103.19
2020-04-17,Superior Brown,7.39
2020-04-18,Bakery,79.13
2020-04-18,Brown,27.43
2020-04-18,Patent,45.56
2020-04-18,Superior,99.52
2020-04-18,Superior Brown,9.79
2020-04-19,Bakery,93.48
2020-04-19,Brown,29.54
2020-04-19,Patent,53.46
2020-04-19,Superior,121.28
2020-04-19,Superior Brown,11.9
2020-04-20,Bakery,94.34
2020-04-20,Brown,29.22
2020-04-20,Patent,51.900000000000006
2020-04-20,Superior,115.67
2020-04-20,Superior Brown,13.09
2020-04-21,Bakery,85.68
2020-04-21,Brown,33.01
2020-04-21,Patent,54.55
2020-04-21,Superior,120.85
2020-04-21,Superior Brown,11.0
2020-04-22,Bakery,87.76
2020-04-22,Brown,37.1
2020-04-22,Patent,53.45
2020-04-22,Superior,116.67
2020-04-22,Superior Brown,10.71
2020-04-23,Bakery,93.05000000000001
2020-04-23,Brown,28.58
2020-04-23,Patent,54.06
2020-04-23,Superior,119.83
2020-04-23,Superior Brown,12.77
2020-04-24,Bakery,175.03
2020-04-24,Brown,59.44
2020-04-24,Patent,111.52
2020-04-24,Superior,261.34000000000003
2020-04-24,Superior Brown,25.63
2020-04-25,Bakery,209.32999999999998
2020-04-25,Brown,57.790000000000006
2020-04-25,Patent,114.57
2020-04-25,Superior,269.19
2020-04-25,Superior Brown,26.13
2020-04-26,Bakery,251.72
2020-04-26,Brown,77.06
2020-04-26,Patent,125.32000000000001
2020-04-26,Superior,289.07
2020-04-26,Superior Brown,26.62
2020-04-27,Bakery,227.48
2020-04-27,Brown,75.42
2020-04-27,Patent,127.74
2020-04-27,Superior,330.79
2020-04-27,Superior Brown,29.59
2020-04-28,Bakery,226.73000000000002
2020-04-28,Brown,71.9
2020-04-28,Patent,114.38
2020-04-28,Superior,292.48
2020-04-28,Superior Brown,28.14
2020-04-29,Bakery,230.88
2020-04-29,Brown,67.72
2020-04-29,Patent,118.91
2020-04-29,Superior,319.88
2020-04-29,Superior Brown,28.59
2020-04-30,Bakery,222.68
2020-04-30,Brown,77.9
2020-04-30,Patent,112.07
2020-04-30,Superior,310.2
2020-04-30,Superior Brown,22.66
2020-05-01,Bakery,211.42
2020-05-01,Brown,62.61
2020-05-01,Patent,110.05
2020-05-01,Superior,253.45000000000002
2020-05-01,Superior Brown,22.59
2020-05-02,Bakery,207.68
2020-05-02,Brown,68.32
2020-05-02,Patent,112.82
2020-05-02,Superior,225.93
2020-05-02,Superior Brown,24.5
2020-05-03,Bakery,239.9
2020-05-03,Brown,73.22
2020-05-03,Patent,135.24
2020-05-03,Superior,283.84
2020-05-03,Superior Brown,33.68
2020-05-04,Bakery,215.14
2020-05-04,Brown,83.53999999999999
2020-05-04,Patent,123.4
2020-05-04,Superior,281.67
2020-05-04,Superior Brown,31.82
2020-05-05,Bakery,220.39
2020-05-05,Brown,77.47
2020-05-05,Patent,122.73
2020-05-05,Superior,284.56
2020-05-05,Superior Brown,28.49
2020-05-06,Bakery,241.0
2020-05-06,Brown,85.46000000000001
2020-05-06,Patent,143.09
2020-05-06,Superior,295.78
2020-05-06,Superior Brown,26.75
2020-05-07,Bakery,238.32999999999998
2020-05-07,Brown,73.02000000000001
2020-05-07,Patent,124.63
2020-05-07,Superior,286.7
2020-05-07,Superior Brown,32.14
2020-05-08,Bakery,193.9
2020-05-08,Brown,64.19
2020-05-08,Patent,100.14
2020-05-08,Superior,242.45
2020-05-08,Superior Brown,25.4
2020-05-09,Bakery,201.1
2020-05-09,Brown,60.06
2020-05-09,Patent,117.52
2020-05-09,Superior,262.6
2020-05-09,Superior Brown,22.39
2020-05-10,Bakery,223.95
2020-05-10,Brown,68.05
2020-05-10,Patent,127.53999999999999
2020-05-10,Superior,298.04999999999995
2020-05-10,Superior Brown,21.04
2020-05-11,Bakery,223.88
2020-05-11,Brown,75.18
2020-05-11,Patent,143.76
2020-05-11,Superior,296.73
2020-05-11,Superior Brown,29.61
2020-05-12,Bakery,229.91
2020-05-12,Brown,83.16999999999999
2020-05-12,Patent,139.9
2020-05-12,Superior,308.12
2020-05-12,Superior Brown,27.27
2020-05-13,Bakery,222.4
2020-05-13,Brown,75.15
2020-05-13,Patent,132.93
2020-05-13,Superior,302.38
2020-05-13,Superior Brown,29.64
2020-05-14,Bakery,218.95
2020-05-14,Brown,74.47
2020-05-14,Patent,137.26999999999998
2020-05-14,Superior,273.82
2020-05-14,Superior Brown,25.57
2020-05-15,Bakery,187.59
2020-05-15,Brown,66.41
2020-05-15,Patent,119.18
2020-05-15,Superior,220.92000000000002
2020-05-15,Superior Brown,23.24
2020-05-16,Bakery,191.22
2020-05-16,Brown,60.3
2020-05-16,Patent,120.74
2020-05-16,Superior,244.84
2020-05-16,Superior Brown,26.16
2020-05-17,Bakery,233.19
2020-05-17,Brown,76.23
2020-05-17,Patent,130.51
2020-05-17,Superior,283.81
2020-05-17,Superior Brown,27.0
2020-05-18,Bakery,214.11
2020-05-18,Brown,68.56
2020-05-18,Patent,145.13
2020-05-18,Superior,279.34
2020-05-18,Superior Brown,31.8
2020-05-19,Bakery,209.99
2020-05-19,Brown,78.69
2020-05-19,Patent,131.98000000000002
2020-05-19,Superior,289.67
2020-05-19,Superior Brown,28.6
2020-05-20,Bakery,233.66
2020-05-20,Brown,72.23
2020-05-20,Patent,129.15
2020-05-20,Superior,266.6
2020-05-20,Superior Brown,30.56
2020-05-21,Bakery,209.64999999999998
2020-05-21,Brown,78.0
2020-05-21,Patent,121.91
2020-05-21,Superior,288.65999999999997
2020-05-21,Superior Brown,29.63
2020-05-22,Bakery,170.63
2020-05-22,Brown,61.010000000000005
2020-05-22,Patent,108.15
2020-05-22,Superior,234.89999999999998
2020-05-22,Superior Brown,23.1
2020-05-23,Bakery,194.15
2020-05-23,Brown,53.75
2020-05-23,Patent,108.69999999999999
2020-05-23,Superior,248.36
2020-05-23,Superior Brown,20.98
2020-05-24,Bakery,86.83
2020-05-24,Brown,31.18
2020-05-24,Patent,51.43
2020-05-24,Superior,110.07
2020-05-24,Superior Brown,9.4
2020-05-25,Bakery,89.9
2020-05-25,Brown,25.42
2020-05-25,Patent,54.26
2020-05-25,Superior,105.51
2020-05-25,Superior Brown,12.23
2020-05-26,Bakery,86.14
2020-05-26,Brown,32.87
2020-05-26,Patent,49.84
2020-05-26,Superior,111.77000000000001
2020-05-26,Superior Brown,10.03
2020-05-27,Bakery,90.89
2020-05-27,Brown,30.060000000000002
2020-05-27,Patent,51.56999999999999
2020-05-27,Superior,113.11
2020-05-27,Superior Brown,11.81
2020-05-28,Bakery,84.31
2020-05-28,Brown,30.33
2020-05-28,Patent,40.22
2020-05-28,Superior,115.33
2020-05-28,Superior Brown,13.09
2020-05-29,Bakery,72.45
2020-05-29,Brown,22.23
2020-05-29,Patent,44.379999999999995
2020-05-29,Superior,98.01
2020-05-29,Superior Brown,8.33
2020-05-30,Bakery,70.2
2020-05-30,Brown,23.560000000000002
2020-05-30,Patent,43.2
2020-05-30,Superior,95.82000000000001
2020-05-30,Superior Brown,10.73
2020-05-31,Bakery,89.21000000000001
2020-05-31,Brown,32.87
2020-05-31,Patent,43.33
2020-05-31,Superior,108.86
2020-05-31,Superior Brown,9.8
2020-06-01,Bakery,78.21000000000001
2020-06-01,Brown,28.759999999999998
2020-06-01,Patent,48.11
2020-06-01,Superior,106.59
2020-06-01,Superior Brown,12.57
2020-06-02,Bakery,86.51
2020-06-02,Brown,29.24
2020-06-02,Patent,52.519999999999996
2020-06-02,Superior,112.18
2020-06-02,Superior Brown,10.95
2020-06-03,Bakery,79.58
2020-06-03,Brown,26.93
2020-06-03,Patent,48.34
2020-06-03,Superior,110.9
2020-06-03,Superior Brown,11.07
2020-06-04,Bakery,84.7
2020-06-04,Brown,30.32
2020-06-04,Patent,52.33
2020-06-04,Superior,104.85
2020-06-04,Superior Brown,10.44
2020-06-05,Bakery,72.31
2020-06-05,Brown,23.57
2020-06-05,Patent,41.28
2020-06-05,Superior,95.8
2020-06-05,Superior Brown,9.82
2020-06-06,Bakery,68.69
2020-06-06,Brown,24.03
2020-06-06,Patent,43.18
2020-06-06,Superior,91.47
2020-06-06,Superior Brown,9.34
2020-06-07,Bakery,83.33
2020-06-07,Brown,27.39
2020-06-07,Patent,51.05
2020-06-07,Superior,107.84
2020-06-07,Superior Brown,9.68
2020-06-08,Bakery,79.78
2020-06-08,Brown,27.12
2020-06-08,Patent,46.3
2020-06-08,Superior,107.87
2020-06-08,Superior Brown,10.25
2020-06-09,Bakery,87.63
2020-06-09,Brown,29.0
2020-06-09,Patent,47.55
2020-06-09,Superior,115.22
2020-06-09,Superior Brown,11.81
2020-06-10,Bakery,89.64
2020-06-10,Brown,28.689999999999998
2020-06-10,Patent,49.260000000000005
2020-06-10,Superior,116.07000000000001
2020-06-10,Superior Brown,10.96
2020-06-11,Bakery,83.32000000000001
2020-06-11,Brown,27.98
2020-06-11,Patent,50.51
2020-06-11,Superior,100.95
2020-06-11,Superior Brown,10.7
2020-06-12,Bakery,71.2
2020-06-12,Brown,22.52
2020-06-12,Patent,39.0
2020-06-12,Superior,100.33
2020-06-12,Superior Brown,10.02
2020-06-13,Bakery,73.14
2020-06-13,Brown,24.34
2020-06-13,Patent,40.99
2020-06-13,Superior,96.82
2020-06-13,Superior Brown,9.59
2020-06-14,Bakery,92.92
2020-06-14,Brown,30.88
2020-06-14,Patent,50.269999999999996
2020-06-14,Superior,99.4
2020-06-14,Superior Brown,11.25
2020-06-15,Bakery,91.28
2020-06-15,Brown,27.13
2020-06-15,Patent,51.33
2020-06-15,Superior,114.46
2020-06-15,Superior Brown,11.41
2020-06-16,Bakery,94.1
2020-06-16,Brown,28.03
2020-06-16,Patent,50.129999999999995
2020-06-16,Superior,105.22999999999999
2020-06-16,Superior Brown,8.83
2020-06-17,Bakery,83.35
2020-06-17,Brown,27.029999999999998
2020-06-17,Patent,49.519999999999996
2020-06-17,Superior,114.92999999999999
2020-06-17,Superior Brown,8.63
2020-06-18,Bakery,89.52
2020-06-18,Brown,30.68
2020-06-18,Patent,46.69
2020-06-18,Superior,98.97999999999999
2020-06-18,Superior Brown,9.93
2020-06-19,Bakery,69.46000000000001
2020-06-19,Brown,23.97
2020-06-19,Patent,39.32
2020-06-19,Superior,86.93
2020-06-19,Superior Brown,9.39
