kpi_name,period,value,delta,driver,status,scenario_id
avg_run_length_days,2020-02-01 00:00:00,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-02-01 00:00:00,32.1,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-02-01 00:00:00,58278.72,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-02-01 00:00:00,920.7607,0.0,Market,neutral,base
import_dependency_pct,2020-02-01 00:00:00,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-02-01 00:00:00,40.2,0.0,Geopolitics,negative,base
yield_variability_index,2020-02-01 00:00:00,0.073,0.0,Quality,neutral,base
waste_rate_vs_target,2020-02-01 00:00:00,-0.72,0.0,Gap to target,positive,base
energy_per_ton,2020-02-01 00:00:00,69.9875,0.0,Efficiency,neutral,base
water_per_ton,2020-02-01 00:00:00,0.7773,0.0,Conservation,neutral,base
vision_2030_compliance,2020-02-01 00:00:00,85.5,0.0,Composite,positive,base
total_demand_tons,2020-03-01 00:00:00,64071.89,9.9404,SKU forecast,positive,base
recipe_time_utilization_pct,2020-03-01 00:00:00,65.2061,0.9529,Time constraint,positive,base
capacity_violations_count,2020-03-01 00:00:00,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-03-01 00:00:00,927.7113,6.9506,Wheat price,neutral,base
waste_rate_pct,2020-03-01 00:00:00,2.07,0.2867,Recipe mix,positive,base
vision_2030_index,2020-03-01 00:00:00,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-03-01 00:00:00,3879254.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-03-01 00:00:00,64071.89,0.0,Flour demand,neutral,base
total_recipe_hours,2020-03-01 00:00:00,1629.81,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-03-01 00:00:00,100.0,0.0,Model accuracy,positive,base
seasonality_index,2020-03-01 00:00:00,1.0768,0.0,Calendar,neutral,base
planned_recipe_hours,2020-03-01 00:00:00,1185.12,0.0,Schedule,neutral,base
available_mill_hours,2020-03-01 00:00:00,1817.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-03-01 00:00:00,632.38,0.0,Capacity balance,positive,base
avg_changeovers,2020-03-01 00:00:00,115.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-03-01 00:00:00,890.5972,0.0,Raw material,neutral,base
waste_impact_pct,2020-03-01 00:00:00,2.07,0.0,Waste,positive,base
mill_utilization_pct,2020-03-01 00:00:00,65.2061,0.0,Utilization,positive,base
overload_hours,2020-03-01 00:00:00,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-03-01 00:00:00,198.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-03-01 00:00:00,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-03-01 00:00:00,32.6,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-03-01 00:00:00,64071.88,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-03-01 00:00:00,927.7113,0.0,Market,neutral,base
import_dependency_pct,2020-03-01 00:00:00,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-03-01 00:00:00,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2020-03-01 00:00:00,0.11,0.0,Quality,neutral,base
waste_rate_vs_target,2020-03-01 00:00:00,-0.43,0.0,Gap to target,positive,base
energy_per_ton,2020-03-01 00:00:00,70.149,0.0,Efficiency,neutral,base
water_per_ton,2020-03-01 00:00:00,0.7902,0.0,Conservation,neutral,base
vision_2030_compliance,2020-03-01 00:00:00,85.5,0.0,Composite,positive,base
total_demand_tons,2020-04-01 00:00:00,67050.2,4.6484,SKU forecast,positive,base
recipe_time_utilization_pct,2020-04-01 00:00:00,64.7262,-0.4798,Time constraint,positive,base
capacity_violations_count,2020-04-01 00:00:00,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-04-01 00:00:00,938.3083,10.597,Wheat price,neutral,base
waste_rate_pct,2020-04-01 00:00:00,2.0717,0.0017,Recipe mix,positive,base
vision_2030_index,2020-04-01 00:00:00,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-04-01 00:00:00,4055695.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-04-01 00:00:00,67050.2,0.0,Flour demand,neutral,base
total_recipe_hours,2020-04-01 00:00:00,1703.36,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-04-01 00:00:00,100.0,0.0,Model accuracy,positive,base
seasonality_index,2020-04-01 00:00:00,1.165,0.0,Calendar,neutral,base
planned_recipe_hours,2020-04-01 00:00:00,1123.0,0.0,Schedule,neutral,base
available_mill_hours,2020-04-01 00:00:00,1735.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-04-01 00:00:00,612.0,0.0,Capacity balance,positive,base
avg_changeovers,2020-04-01 00:00:00,112.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-04-01 00:00:00,890.1191,0.0,Raw material,neutral,base
waste_impact_pct,2020-04-01 00:00:00,2.0717,0.0,Waste,positive,base
mill_utilization_pct,2020-04-01 00:00:00,64.7262,0.0,Utilization,positive,base
overload_hours,2020-04-01 00:00:00,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-04-01 00:00:00,191.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-04-01 00:00:00,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-04-01 00:00:00,32.4,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-04-01 00:00:00,67050.14,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-04-01 00:00:00,938.3083,0.0,Market,neutral,base
import_dependency_pct,2020-04-01 00:00:00,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-04-01 00:00:00,40.2,0.0,Geopolitics,negative,base
yield_variability_index,2020-04-01 00:00:00,0.084,0.0,Quality,neutral,base
waste_rate_vs_target,2020-04-01 00:00:00,-0.43,0.0,Gap to target,positive,base
energy_per_ton,2020-04-01 00:00:00,69.5492,0.0,Efficiency,neutral,base
water_per_ton,2020-04-01 00:00:00,0.7938,0.0,Conservation,neutral,base
vision_2030_compliance,2020-04-01 00:00:00,85.5,0.0,Composite,positive,base
total_demand_tons,2020-05-01 00:00:00,79107.78,17.9829,SKU forecast,positive,base
recipe_time_utilization_pct,2020-05-01 00:00:00,65.0426,0.3163,Time constraint,positive,base
capacity_violations_count,2020-05-01 00:00:00,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-05-01 00:00:00,951.3341,13.0258,Wheat price,neutral,base
waste_rate_pct,2020-05-01 00:00:00,2.0691,-0.0026,Recipe mix,positive,base
vision_2030_index,2020-05-01 00:00:00,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-05-01 00:00:00,4768417.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-05-01 00:00:00,79107.78,0.0,Flour demand,neutral,base
total_recipe_hours,2020-05-01 00:00:00,2004.31,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-05-01 00:00:00,100.0,0.0,Model accuracy,positive,base
seasonality_index,2020-05-01 00:00:00,1.3306,0.0,Calendar,neutral,base
planned_recipe_hours,2020-05-01 00:00:00,1176.62,0.0,Schedule,neutral,base
available_mill_hours,2020-05-01 00:00:00,1809.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-05-01 00:00:00,632.38,0.0,Capacity balance,positive,base
avg_changeovers,2020-05-01 00:00:00,115.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-05-01 00:00:00,889.3648,0.0,Raw material,neutral,base
waste_impact_pct,2020-05-01 00:00:00,2.0691,0.0,Waste,positive,base
mill_utilization_pct,2020-05-01 00:00:00,65.0426,0.0,Utilization,positive,base
overload_hours,2020-05-01 00:00:00,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-05-01 00:00:00,197.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-05-01 00:00:00,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-05-01 00:00:00,32.5,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-05-01 00:00:00,79107.76,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-05-01 00:00:00,951.3341,0.0,Market,neutral,base
import_dependency_pct,2020-05-01 00:00:00,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-05-01 00:00:00,39.8,0.0,Geopolitics,negative,base
yield_variability_index,2020-05-01 00:00:00,0.086,0.0,Quality,neutral,base
waste_rate_vs_target,2020-05-01 00:00:00,-0.43,0.0,Gap to target,positive,base
energy_per_ton,2020-05-01 00:00:00,69.7373,0.0,Efficiency,neutral,base
water_per_ton,2020-05-01 00:00:00,0.7901,0.0,Conservation,neutral,base
vision_2030_compliance,2020-05-01 00:00:00,85.5,0.0,Composite,positive,base
total_demand_tons,2020-06-01 00:00:00,58904.17,-25.5393,SKU forecast,negative,base
recipe_time_utilization_pct,2020-06-01 00:00:00,64.9903,-0.0523,Time constraint,positive,base
capacity_violations_count,2020-06-01 00:00:00,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-06-01 00:00:00,908.8986,-42.4355,Wheat price,neutral,base
waste_rate_pct,2020-06-01 00:00:00,2.0067,-0.0624,Recipe mix,positive,base
vision_2030_index,2020-06-01 00:00:00,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-06-01 00:00:00,3564348.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-06-01 00:00:00,58904.17,0.0,Flour demand,neutral,base
total_recipe_hours,2020-06-01 00:00:00,1497.81,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-06-01 00:00:00,100.0,0.0,Model accuracy,positive,base
seasonality_index,2020-06-01 00:00:00,1.0203,0.0,Calendar,neutral,base
planned_recipe_hours,2020-06-01 00:00:00,1136.03,0.0,Schedule,neutral,base
available_mill_hours,2020-06-01 00:00:00,1748.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-06-01 00:00:00,611.97,0.0,Capacity balance,positive,base
avg_changeovers,2020-06-01 00:00:00,110.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-06-01 00:00:00,890.619,0.0,Raw material,neutral,base
waste_impact_pct,2020-06-01 00:00:00,2.0067,0.0,Waste,positive,base
mill_utilization_pct,2020-06-01 00:00:00,64.9903,0.0,Utilization,positive,base
overload_hours,2020-06-01 00:00:00,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-06-01 00:00:00,190.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-06-01 00:00:00,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-06-01 00:00:00,32.5,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-06-01 00:00:00,58904.16,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-06-01 00:00:00,908.8986,0.0,Market,neutral,base
import_dependency_pct,2020-06-01 00:00:00,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-06-01 00:00:00,40.2,0.0,Geopolitics,negative,base
yield_variability_index,2020-06-01 00:00:00,0.082,0.0,Quality,neutral,base
waste_rate_vs_target,2020-06-01 00:00:00,-0.49,0.0,Gap to target,positive,base
energy_per_ton,2020-06-01 00:00:00,70.8022,0.0,Efficiency,neutral,base
water_per_ton,2020-06-01 00:00:00,0.8063,0.0,Conservation,neutral,base
vision_2030_compliance,2020-06-01 00:00:00,85.5,0.0,Composite,positive,base
total_demand_tons,2020-07-01 00:00:00,73271.92,24.3917,SKU forecast,positive,base
recipe_time_utilization_pct,2020-07-01 00:00:00,65.2527,0.2625,Time constraint,positive,base
capacity_violations_count,2020-07-01 00:00:00,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-07-01 00:00:00,916.9929,8.0943,Wheat price,neutral,base
waste_rate_pct,2020-07-01 00:00:00,2.3411,0.3344,Recipe mix,positive,base
vision_2030_index,2020-07-01 00:00:00,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-07-01 00:00:00,4421770.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-07-01 00:00:00,73271.92,0.0,Flour demand,neutral,base
total_recipe_hours,2020-07-01 00:00:00,1865.49,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-07-01 00:00:00,100.0,0.0,Model accuracy,positive,base
seasonality_index,2020-07-01 00:00:00,1.2242,0.0,Calendar,neutral,base
planned_recipe_hours,2020-07-01 00:00:00,1187.6,0.0,Schedule,neutral,base
available_mill_hours,2020-07-01 00:00:00,1820.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-07-01 00:00:00,632.4,0.0,Capacity balance,positive,base
avg_changeovers,2020-07-01 00:00:00,115.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-07-01 00:00:00,890.2027,0.0,Raw material,neutral,base
waste_impact_pct,2020-07-01 00:00:00,2.3411,0.0,Waste,positive,base
mill_utilization_pct,2020-07-01 00:00:00,65.2527,0.0,Utilization,positive,base
overload_hours,2020-07-01 00:00:00,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-07-01 00:00:00,199.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-07-01 00:00:00,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-07-01 00:00:00,32.6,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-07-01 00:00:00,73271.92,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-07-01 00:00:00,916.9929,0.0,Market,neutral,base
import_dependency_pct,2020-07-01 00:00:00,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-07-01 00:00:00,40.4,0.0,Geopolitics,negative,base
yield_variability_index,2020-07-01 00:00:00,0.069,0.0,Quality,neutral,base
waste_rate_vs_target,2020-07-01 00:00:00,-0.16,0.0,Gap to target,positive,base
energy_per_ton,2020-07-01 00:00:00,69.3622,0.0,Efficiency,neutral,base
water_per_ton,2020-07-01 00:00:00,0.7946,0.0,Conservation,neutral,base
vision_2030_compliance,2020-07-01 00:00:00,85.5,0.0,Composite,positive,base
total_demand_tons,2020-08-01 00:00:00,56668.23,-22.6604,SKU forecast,negative,base
recipe_time_utilization_pct,2020-08-01 00:00:00,64.3913,-0.8614,Time constraint,positive,base
capacity_violations_count,2020-08-01 00:00:00,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-08-01 00:00:00,878.9565,-38.0364,Wheat price,neutral,base
waste_rate_pct,2020-08-01 00:00:00,2.03,-0.3111,Recipe mix,positive,base
vision_2030_index,2020-08-01 00:00:00,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-08-01 00:00:00,3419494.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-08-01 00:00:00,56668.23,0.0,Flour demand,neutral,base
total_recipe_hours,2020-08-01 00:00:00,1441.56,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-08-01 00:00:00,100.0,0.0,Model accuracy,positive,base
seasonality_index,2020-08-01 00:00:00,0.9432,0.0,Calendar,neutral,base
planned_recipe_hours,2020-08-01 00:00:00,1143.59,0.0,Schedule,neutral,base
available_mill_hours,2020-08-01 00:00:00,1776.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-08-01 00:00:00,632.41,0.0,Capacity balance,positive,base
avg_changeovers,2020-08-01 00:00:00,113.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-08-01 00:00:00,890.5638,0.0,Raw material,neutral,base
waste_impact_pct,2020-08-01 00:00:00,2.03,0.0,Waste,positive,base
mill_utilization_pct,2020-08-01 00:00:00,64.3913,0.0,Utilization,positive,base
overload_hours,2020-08-01 00:00:00,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-08-01 00:00:00,194.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-08-01 00:00:00,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-08-01 00:00:00,32.2,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-08-01 00:00:00,56668.3,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-08-01 00:00:00,878.9565,0.0,Market,neutral,base
import_dependency_pct,2020-08-01 00:00:00,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-08-01 00:00:00,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2020-08-01 00:00:00,0.098,0.0,Quality,neutral,base
waste_rate_vs_target,2020-08-01 00:00:00,-0.47,0.0,Gap to target,positive,base
energy_per_ton,2020-08-01 00:00:00,70.359,0.0,Efficiency,neutral,base
water_per_ton,2020-08-01 00:00:00,0.7888,0.0,Conservation,neutral,base
vision_2030_compliance,2020-08-01 00:00:00,85.5,0.0,Composite,positive,base
total_demand_tons,2020-09-01 00:00:00,53770.89,-5.1128,SKU forecast,negative,base
recipe_time_utilization_pct,2020-09-01 00:00:00,64.6572,0.2659,Time constraint,positive,base
capacity_violations_count,2020-09-01 00:00:00,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-09-01 00:00:00,870.6747,-8.2818,Wheat price,neutral,base
waste_rate_pct,2020-09-01 00:00:00,1.9509,-0.0791,Recipe mix,positive,base
vision_2030_index,2020-09-01 00:00:00,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-09-01 00:00:00,3231180.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-09-01 00:00:00,53770.89,0.0,Flour demand,neutral,base
total_recipe_hours,2020-09-01 00:00:00,1367.68,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-09-01 00:00:00,100.0,0.0,Model accuracy,positive,base
seasonality_index,2020-09-01 00:00:00,0.923,0.0,Calendar,neutral,base
planned_recipe_hours,2020-09-01 00:00:00,1119.54,0.0,Schedule,neutral,base
available_mill_hours,2020-09-01 00:00:00,1731.5,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-09-01 00:00:00,611.96,0.0,Capacity balance,positive,base
avg_changeovers,2020-09-01 00:00:00,110.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-09-01 00:00:00,890.6322,0.0,Raw material,neutral,base
waste_impact_pct,2020-09-01 00:00:00,1.9509,0.0,Waste,positive,base
mill_utilization_pct,2020-09-01 00:00:00,64.6572,0.0,Utilization,positive,base
overload_hours,2020-09-01 00:00:00,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-09-01 00:00:00,187.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-09-01 00:00:00,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-09-01 00:00:00,32.3,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-09-01 00:00:00,53770.85,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-09-01 00:00:00,870.6747,0.0,Market,neutral,base
import_dependency_pct,2020-09-01 00:00:00,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-09-01 00:00:00,40.3,0.0,Geopolitics,negative,base
yield_variability_index,2020-09-01 00:00:00,0.053,0.0,Quality,neutral,base
waste_rate_vs_target,2020-09-01 00:00:00,-0.55,0.0,Gap to target,positive,base
energy_per_ton,2020-09-01 00:00:00,70.3773,0.0,Efficiency,neutral,base
water_per_ton,2020-09-01 00:00:00,0.791,0.0,Conservation,neutral,base
vision_2030_compliance,2020-09-01 00:00:00,85.5,0.0,Composite,positive,base
total_demand_tons,2020-10-01 00:00:00,55267.41,2.7831,SKU forecast,positive,base
recipe_time_utilization_pct,2020-10-01 00:00:00,64.9446,0.2873,Time constraint,positive,base
capacity_violations_count,2020-10-01 00:00:00,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-10-01 00:00:00,869.9157,-0.759,Wheat price,neutral,base
waste_rate_pct,2020-10-01 00:00:00,1.846,-0.1049,Recipe mix,positive,base
vision_2030_index,2020-10-01 00:00:00,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-10-01 00:00:00,3355097.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-10-01 00:00:00,55267.41,0.0,Flour demand,neutral,base
total_recipe_hours,2020-10-01 00:00:00,1405.51,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-10-01 00:00:00,100.0,0.0,Model accuracy,positive,base
seasonality_index,2020-10-01 00:00:00,0.9235,0.0,Calendar,neutral,base
planned_recipe_hours,2020-10-01 00:00:00,1171.6,0.0,Schedule,neutral,base
available_mill_hours,2020-10-01 00:00:00,1804.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-10-01 00:00:00,632.4,0.0,Capacity balance,positive,base
avg_changeovers,2020-10-01 00:00:00,114.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-10-01 00:00:00,890.6934,0.0,Raw material,neutral,base
waste_impact_pct,2020-10-01 00:00:00,1.846,0.0,Waste,positive,base
mill_utilization_pct,2020-10-01 00:00:00,64.9446,0.0,Utilization,positive,base
overload_hours,2020-10-01 00:00:00,0.0,0.0,Capacity,positive,base
recipe_switch_count,2020-10-01 00:00:00,197.0,0.0,Scheduling,neutral,base
avg_run_length_days,2020-10-01 00:00:00,0.2,0.0,Continuity,neutral,base
downtime_risk_score,2020-10-01 00:00:00,32.5,0.0,Risk model,positive,base
total_wheat_requirement_tons,2020-10-01 00:00:00,55267.4,0.0,Procurement,neutral,base
avg_wheat_cost_sar,2020-10-01 00:00:00,869.9157,0.0,Market,neutral,base
import_dependency_pct,2020-10-01 00:00:00,100.0,0.0,Supply chain,negative,base
high_risk_supply_pct,2020-10-01 00:00:00,40.2,0.0,Geopolitics,negative,base
yield_variability_index,2020-10-01 00:00:00,0.07,0.0,Quality,neutral,base
waste_rate_vs_target,2020-10-01 00:00:00,-0.65,0.0,Gap to target,positive,base
energy_per_ton,2020-10-01 00:00:00,69.7,0.0,Efficiency,neutral,base
water_per_ton,2020-10-01 00:00:00,0.7993,0.0,Conservation,neutral,base
vision_2030_compliance,2020-10-01 00:00:00,85.5,0.0,Composite,positive,base
total_demand_tons,2020-11-01 00:00:00,55326.83,0.1075,SKU forecast,positive,base
recipe_time_utilization_pct,2020-11-01 00:00:00,63.8512,-1.0934,Time constraint,positive,base
capacity_violations_count,2020-11-01 00:00:00,0.0,0.0,Overload,positive,base
avg_cost_per_ton,2020-11-01 00:00:00,881.9451,12.0294,Wheat price,neutral,base
waste_rate_pct,2020-11-01 00:00:00,2.105,0.259,Recipe mix,positive,base
vision_2030_index,2020-11-01 00:00:00,85.5,0.0,Sustainability,positive,base
total_sku_forecast_units,2020-11-01 00:00:00,3348712.0,0.0,Forecast,neutral,base
bulk_flour_required_tons,2020-11-01 00:00:00,55326.83,0.0,Flour demand,neutral,base
total_recipe_hours,2020-11-01 00:00:00,1407.64,0.0,Recipe demand,neutral,base
forecast_confidence_pct,2020-11-01 00:00:00,100.0,0.0,Model accuracy,positive,base
seasonality_index,2020-11-01 00:00:00,0.9453,0.0,Calendar,neutral,base
planned_recipe_hours,2020-11-01 00:00:00,1081.0,0.0,Schedule,neutral,base
available_mill_hours,2020-11-01 00:00:00,1693.0,0.0,Capacity,neutral,base
slack_shortfall_hours,2020-11-01 00:00:00,612.0,0.0,Capacity balance,positive,base
avg_changeovers,2020-11-01 00:00:00,111.0,0.0,Recipe switches,neutral,base
wheat_cost_index,2020-11-01 00:00:00,890.5547,0.0,Raw material,neutral,base
waste_impact_pct,2020-11-01 00:00:00,2.105,0.0,Waste,positive,base
mill_utilization_pct,2020-11-01 00:00:00,63.8512,0.0,Utilization,positive,base
overload_hours,2020-11-01 00:00:00,0.0,0.0,Capacity,positive,base
