date,flour_type,required_tons,recipe_id,allocation_pct,notes,recipe_tons
2020-01-22,Bakery,84.41,R2,0.5,Primary recipe,42.205
2020-01-22,Bakery,84.41,R4,0.5,Alternative recipe,42.205
2020-01-23,Bakery,83.53,R2,0.5,Primary recipe,41.765
2020-01-23,Bakery,83.53,R4,0.5,Alternative recipe,41.765
2020-01-24,Bakery,77.26,R2,0.5,Primary recipe,38.63
2020-01-24,Bakery,77.26,R4,0.5,Alternative recipe,38.63
2020-01-25,Bakery,73.48,R2,0.5,Primary recipe,36.74
2020-01-25,Bakery,73.48,R4,0.5,Alternative recipe,36.74
2020-01-26,Bakery,87.01,R2,0.5,Primary recipe,43.505
2020-01-26,Bakery,87.01,R4,0.5,Alternative recipe,43.505
2020-01-27,Bakery,83.4,R2,0.5,Primary recipe,41.7
2020-01-27,Bakery,83.4,R4,0.5,Alternative recipe,41.7
2020-01-28,Bakery,83.14,R2,0.5,Primary recipe,41.57
2020-01-28,Bakery,83.14,R4,0.5,Alternative recipe,41.57
2020-01-29,Bakery,79.6,R2,0.5,Primary recipe,39.8
2020-01-29,Bakery,79.6,R4,0.5,Alternative recipe,39.8
2020-01-30,Bakery,79.6,R2,0.5,Primary recipe,39.8
2020-01-30,Bakery,79.6,R4,0.5,Alternative recipe,39.8
2020-01-31,Bakery,75.34,R2,0.5,Primary recipe,37.67
2020-01-31,Bakery,75.34,R4,0.5,Alternative recipe,37.67
2020-02-01,Bakery,71.63,R2,0.5,Primary recipe,35.815
2020-02-01,Bakery,71.63,R4,0.5,Alternative recipe,35.815
2020-02-02,Bakery,84.53,R2,0.5,Primary recipe,42.265
2020-02-02,Bakery,84.53,R4,0.5,Alternative recipe,42.265
2020-02-03,Bakery,84.56,R2,0.5,Primary recipe,42.28
2020-02-03,Bakery,84.56,R4,0.5,Alternative recipe,42.28
2020-02-04,Bakery,85.33,R2,0.5,Primary recipe,42.665
2020-02-04,Bakery,85.33,R4,0.5,Alternative recipe,42.665
2020-02-05,Bakery,77.23,R2,0.5,Primary recipe,38.615
2020-02-05,Bakery,77.23,R4,0.5,Alternative recipe,38.615
2020-02-06,Bakery,80.32,R2,0.5,Primary recipe,40.16
2020-02-06,Bakery,80.32,R4,0.5,Alternative recipe,40.16
2020-02-07,Bakery,73.93,R2,0.5,Primary recipe,36.965
2020-02-07,Bakery,73.93,R4,0.5,Alternative recipe,36.965
2020-02-08,Bakery,71.03,R2,0.5,Primary recipe,35.515
2020-02-08,Bakery,71.03,R4,0.5,Alternative recipe,35.515
2020-02-09,Bakery,97.1,R2,0.5,Primary recipe,48.55
2020-02-09,Bakery,97.1,R4,0.5,Alternative recipe,48.55
2020-02-10,Bakery,84.41,R2,0.5,Primary recipe,42.205
2020-02-10,Bakery,84.41,R4,0.5,Alternative recipe,42.205
2020-02-11,Bakery,93.11,R2,0.5,Primary recipe,46.555
2020-02-11,Bakery,93.11,R4,0.5,Alternative recipe,46.555
2020-02-12,Bakery,90.03999999999999,R2,0.5,Primary recipe,45.019999999999996
2020-02-12,Bakery,90.03999999999999,R4,0.5,Alternative recipe,45.019999999999996
2020-02-13,Bakery,77.98,R2,0.5,Primary recipe,38.99
2020-02-13,Bakery,77.98,R4,0.5,Alternative recipe,38.99
2020-02-14,Bakery,69.17,R2,0.5,Primary recipe,34.585
2020-02-14,Bakery,69.17,R4,0.5,Alternative recipe,34.585
2020-02-15,Bakery,75.33,R2,0.5,Primary recipe,37.665
2020-02-15,Bakery,75.33,R4,0.5,Alternative recipe,37.665
2020-02-16,Bakery,88.92,R2,0.5,Primary recipe,44.46
2020-02-16,Bakery,88.92,R4,0.5,Alternative recipe,44.46
2020-02-17,Bakery,85.14,R2,0.5,Primary recipe,42.57
2020-02-17,Bakery,85.14,R4,0.5,Alternative recipe,42.57
2020-02-18,Bakery,87.01,R2,0.5,Primary recipe,43.505
2020-02-18,Bakery,87.01,R4,0.5,Alternative recipe,43.505
2020-02-19,Bakery,91.08,R2,0.5,Primary recipe,45.54
2020-02-19,Bakery,91.08,R4,0.5,Alternative recipe,45.54
2020-02-20,Bakery,89.25,R2,0.5,Primary recipe,44.625
2020-02-20,Bakery,89.25,R4,0.5,Alternative recipe,44.625
2020-02-21,Bakery,77.02,R2,0.5,Primary recipe,38.51
2020-02-21,Bakery,77.02,R4,0.5,Alternative recipe,38.51
2020-02-22,Bakery,73.32,R2,0.5,Primary recipe,36.66
2020-02-22,Bakery,73.32,R4,0.5,Alternative recipe,36.66
2020-02-23,Bakery,77.89999999999999,R2,0.5,Primary recipe,38.949999999999996
2020-02-23,Bakery,77.89999999999999,R4,0.5,Alternative recipe,38.949999999999996
2020-02-24,Bakery,84.42,R2,0.5,Primary recipe,42.21
2020-02-24,Bakery,84.42,R4,0.5,Alternative recipe,42.21
2020-02-25,Bakery,97.56,R2,0.5,Primary recipe,48.78
2020-02-25,Bakery,97.56,R4,0.5,Alternative recipe,48.78
2020-02-26,Bakery,87.91,R2,0.5,Primary recipe,43.955
2020-02-26,Bakery,87.91,R4,0.5,Alternative recipe,43.955
2020-02-27,Bakery,85.75,R2,0.5,Primary recipe,42.875
2020-02-27,Bakery,85.75,R4,0.5,Alternative recipe,42.875
2020-02-28,Bakery,77.76,R2,0.5,Primary recipe,38.88
2020-02-28,Bakery,77.76,R4,0.5,Alternative recipe,38.88
2020-02-29,Bakery,82.42,R2,0.5,Primary recipe,41.21
2020-02-29,Bakery,82.42,R4,0.5,Alternative recipe,41.21
2020-03-01,Bakery,93.14,R2,0.5,Primary recipe,46.57
2020-03-01,Bakery,93.14,R4,0.5,Alternative recipe,46.57
2020-03-02,Bakery,96.43,R2,0.5,Primary recipe,48.215
2020-03-02,Bakery,96.43,R4,0.5,Alternative recipe,48.215
2020-03-03,Bakery,91.63,R2,0.5,Primary recipe,45.815
2020-03-03,Bakery,91.63,R4,0.5,Alternative recipe,45.815
2020-03-04,Bakery,91.96000000000001,R2,0.5,Primary recipe,45.980000000000004
2020-03-04,Bakery,91.96000000000001,R4,0.5,Alternative recipe,45.980000000000004
2020-03-05,Bakery,84.2,R2,0.5,Primary recipe,42.1
2020-03-05,Bakery,84.2,R4,0.5,Alternative recipe,42.1
2020-03-06,Bakery,79.14,R2,0.5,Primary recipe,39.57
2020-03-06,Bakery,79.14,R4,0.5,Alternative recipe,39.57
2020-03-07,Bakery,82.34,R2,0.5,Primary recipe,41.17
2020-03-07,Bakery,82.34,R4,0.5,Alternative recipe,41.17
2020-03-08,Bakery,94.09,R2,0.5,Primary recipe,47.045
2020-03-08,Bakery,94.09,R4,0.5,Alternative recipe,47.045
2020-03-09,Bakery,91.69999999999999,R2,0.5,Primary recipe,45.849999999999994
2020-03-09,Bakery,91.69999999999999,R4,0.5,Alternative recipe,45.849999999999994
2020-03-10,Bakery,88.65,R2,0.5,Primary recipe,44.325
2020-03-10,Bakery,88.65,R4,0.5,Alternative recipe,44.325
2020-03-11,Bakery,101.62,R2,0.5,Primary recipe,50.81
2020-03-11,Bakery,101.62,R4,0.5,Alternative recipe,50.81
2020-03-12,Bakery,96.74,R2,0.5,Primary recipe,48.37
2020-03-12,Bakery,96.74,R4,0.5,Alternative recipe,48.37
2020-03-13,Bakery,90.32,R2,0.5,Primary recipe,45.16
2020-03-13,Bakery,90.32,R4,0.5,Alternative recipe,45.16
2020-03-14,Bakery,73.91,R2,0.5,Primary recipe,36.955
2020-03-14,Bakery,73.91,R4,0.5,Alternative recipe,36.955
2020-03-15,Bakery,92.16,R2,0.5,Primary recipe,46.08
2020-03-15,Bakery,92.16,R4,0.5,Alternative recipe,46.08
2020-03-16,Bakery,91.12,R2,0.5,Primary recipe,45.56
2020-03-16,Bakery,91.12,R4,0.5,Alternative recipe,45.56
2020-03-17,Bakery,84.55,R2,0.5,Primary recipe,42.275
2020-03-17,Bakery,84.55,R4,0.5,Alternative recipe,42.275
2020-03-18,Bakery,89.85,R2,0.5,Primary recipe,44.925
2020-03-18,Bakery,89.85,R4,0.5,Alternative recipe,44.925
2020-03-19,Bakery,86.41,R2,0.5,Primary recipe,43.205
2020-03-19,Bakery,86.41,R4,0.5,Alternative recipe,43.205
2020-03-20,Bakery,76.11,R2,0.5,Primary recipe,38.055
2020-03-20,Bakery,76.11,R4,0.5,Alternative recipe,38.055
2020-03-21,Bakery,76.03,R2,0.5,Primary recipe,38.015
2020-03-21,Bakery,76.03,R4,0.5,Alternative recipe,38.015
2020-03-22,Bakery,94.81,R2,0.5,Primary recipe,47.405
2020-03-22,Bakery,94.81,R4,0.5,Alternative recipe,47.405
2020-03-23,Bakery,98.09,R2,0.5,Primary recipe,49.045
2020-03-23,Bakery,98.09,R4,0.5,Alternative recipe,49.045
2020-03-24,Bakery,92.13,R2,0.5,Primary recipe,46.065
2020-03-24,Bakery,92.13,R4,0.5,Alternative recipe,46.065
2020-03-25,Bakery,96.27,R2,0.5,Primary recipe,48.135
2020-03-25,Bakery,96.27,R4,0.5,Alternative recipe,48.135
2020-03-26,Bakery,96.8,R2,0.5,Primary recipe,48.4
2020-03-26,Bakery,96.8,R4,0.5,Alternative recipe,48.4
2020-03-27,Bakery,76.92999999999999,R2,0.5,Primary recipe,38.464999999999996
2020-03-27,Bakery,76.92999999999999,R4,0.5,Alternative recipe,38.464999999999996
2020-03-28,Bakery,76.83,R2,0.5,Primary recipe,38.415
2020-03-28,Bakery,76.83,R4,0.5,Alternative recipe,38.415
2020-03-29,Bakery,97.17,R2,0.5,Primary recipe,48.585
2020-03-29,Bakery,97.17,R4,0.5,Alternative recipe,48.585
2020-03-30,Bakery,90.05000000000001,R2,0.5,Primary recipe,45.025000000000006
2020-03-30,Bakery,90.05000000000001,R4,0.5,Alternative recipe,45.025000000000006
2020-03-31,Bakery,88.96,R2,0.5,Primary recipe,44.48
2020-03-31,Bakery,88.96,R4,0.5,Alternative recipe,44.48
2020-04-01,Bakery,96.00999999999999,R2,0.5,Primary recipe,48.004999999999995
2020-04-01,Bakery,96.00999999999999,R4,0.5,Alternative recipe,48.004999999999995
2020-04-02,Bakery,93.03,R2,0.5,Primary recipe,46.515
2020-04-02,Bakery,93.03,R4,0.5,Alternative recipe,46.515
2020-04-03,Bakery,79.56,R2,0.5,Primary recipe,39.78
2020-04-03,Bakery,79.56,R4,0.5,Alternative recipe,39.78
2020-04-04,Bakery,77.61,R2,0.5,Primary recipe,38.805
2020-04-04,Bakery,77.61,R4,0.5,Alternative recipe,38.805
2020-04-05,Bakery,93.23,R2,0.5,Primary recipe,46.615
2020-04-05,Bakery,93.23,R4,0.5,Alternative recipe,46.615
2020-04-06,Bakery,97.48,R2,0.5,Primary recipe,48.74
2020-04-06,Bakery,97.48,R4,0.5,Alternative recipe,48.74
2020-04-07,Bakery,89.63,R2,0.5,Primary recipe,44.815
2020-04-07,Bakery,89.63,R4,0.5,Alternative recipe,44.815
2020-04-08,Bakery,81.85,R2,0.5,Primary recipe,40.925
2020-04-08,Bakery,81.85,R4,0.5,Alternative recipe,40.925
2020-04-09,Bakery,92.29,R2,0.5,Primary recipe,46.145
2020-04-09,Bakery,92.29,R4,0.5,Alternative recipe,46.145
2020-04-10,Bakery,80.17,R2,0.5,Primary recipe,40.085
2020-04-10,Bakery,80.17,R4,0.5,Alternative recipe,40.085
2020-04-11,Bakery,79.28,R2,0.5,Primary recipe,39.64
2020-04-11,Bakery,79.28,R4,0.5,Alternative recipe,39.64
2020-04-12,Bakery,96.45,R2,0.5,Primary recipe,48.225
2020-04-12,Bakery,96.45,R4,0.5,Alternative recipe,48.225
2020-04-13,Bakery,84.91,R2,0.5,Primary recipe,42.455
2020-04-13,Bakery,84.91,R4,0.5,Alternative recipe,42.455
2020-04-14,Bakery,87.96,R2,0.5,Primary recipe,43.98
2020-04-14,Bakery,87.96,R4,0.5,Alternative recipe,43.98
2020-04-15,Bakery,89.37,R2,0.5,Primary recipe,44.685
2020-04-15,Bakery,89.37,R4,0.5,Alternative recipe,44.685
2020-04-16,Bakery,95.41,R2,0.5,Primary recipe,47.705
2020-04-16,Bakery,95.41,R4,0.5,Alternative recipe,47.705
2020-04-17,Bakery,80.44,R2,0.5,Primary recipe,40.22
2020-04-17,Bakery,80.44,R4,0.5,Alternative recipe,40.22
2020-04-18,Bakery,79.13,R2,0.5,Primary recipe,39.565
2020-04-18,Bakery,79.13,R4,0.5,Alternative recipe,39.565
2020-04-19,Bakery,93.48,R2,0.5,Primary recipe,46.74
2020-04-19,Bakery,93.48,R4,0.5,Alternative recipe,46.74
2020-04-20,Bakery,94.34,R2,0.5,Primary recipe,47.17
2020-04-20,Bakery,94.34,R4,0.5,Alternative recipe,47.17
2020-04-21,Bakery,85.68,R2,0.5,Primary recipe,42.84
2020-04-21,Bakery,85.68,R4,0.5,Alternative recipe,42.84
2020-04-22,Bakery,87.76,R2,0.5,Primary recipe,43.88
2020-04-22,Bakery,87.76,R4,0.5,Alternative recipe,43.88
2020-04-23,Bakery,93.05000000000001,R2,0.5,Primary recipe,46.525000000000006
2020-04-23,Bakery,93.05000000000001,R4,0.5,Alternative recipe,46.525000000000006
2020-04-24,Bakery,175.03,R2,0.5,Primary recipe,87.515
2020-04-24,Bakery,175.03,R4,0.5,Alternative recipe,87.515
2020-04-25,Bakery,209.32999999999998,R2,0.5,Primary recipe,104.66499999999999
2020-04-25,Bakery,209.32999999999998,R4,0.5,Alternative recipe,104.66499999999999
2020-04-26,Bakery,251.72,R2,0.5,Primary recipe,125.86
2020-04-26,Bakery,251.72,R4,0.5,Alternative recipe,125.86
2020-04-27,Bakery,227.48,R2,0.5,Primary recipe,113.74
2020-04-27,Bakery,227.48,R4,0.5,Alternative recipe,113.74
2020-04-28,Bakery,226.73000000000002,R2,0.5,Primary recipe,113.36500000000001
2020-04-28,Bakery,226.73000000000002,R4,0.5,Alternative recipe,113.36500000000001
2020-04-29,Bakery,230.88,R2,0.5,Primary recipe,115.44
2020-04-29,Bakery,230.88,R4,0.5,Alternative recipe,115.44
2020-04-30,Bakery,222.68,R2,0.5,Primary recipe,111.34
2020-04-30,Bakery,222.68,R4,0.5,Alternative recipe,111.34
2020-05-01,Bakery,211.42,R2,0.5,Primary recipe,105.71
2020-05-01,Bakery,211.42,R4,0.5,Alternative recipe,105.71
2020-05-02,Bakery,207.68,R2,0.5,Primary recipe,103.84
2020-05-02,Bakery,207.68,R4,0.5,Alternative recipe,103.84
2020-05-03,Bakery,239.9,R2,0.5,Primary recipe,119.95
2020-05-03,Bakery,239.9,R4,0.5,Alternative recipe,119.95
2020-05-04,Bakery,215.14,R2,0.5,Primary recipe,107.57
2020-05-04,Bakery,215.14,R4,0.5,Alternative recipe,107.57
2020-05-05,Bakery,220.39,R2,0.5,Primary recipe,110.195
2020-05-05,Bakery,220.39,R4,0.5,Alternative recipe,110.195
2020-05-06,Bakery,241.0,R2,0.5,Primary recipe,120.5
2020-05-06,Bakery,241.0,R4,0.5,Alternative recipe,120.5
2020-05-07,Bakery,238.32999999999998,R2,0.5,Primary recipe,119.16499999999999
2020-05-07,Bakery,238.32999999999998,R4,0.5,Alternative recipe,119.16499999999999
2020-05-08,Bakery,193.9,R2,0.5,Primary recipe,96.95
2020-05-08,Bakery,193.9,R4,0.5,Alternative recipe,96.95
2020-05-09,Bakery,201.1,R2,0.5,Primary recipe,100.55
2020-05-09,Bakery,201.1,R4,0.5,Alternative recipe,100.55
2020-05-10,Bakery,223.95,R2,0.5,Primary recipe,111.975
2020-05-10,Bakery,223.95,R4,0.5,Alternative recipe,111.975
2020-05-11,Bakery,223.88,R2,0.5,Primary recipe,111.94
2020-05-11,Bakery,223.88,R4,0.5,Alternative recipe,111.94
2020-05-12,Bakery,229.91,R2,0.5,Primary recipe,114.955
2020-05-12,Bakery,229.91,R4,0.5,Alternative recipe,114.955
2020-05-13,Bakery,222.4,R2,0.5,Primary recipe,111.2
2020-05-13,Bakery,222.4,R4,0.5,Alternative recipe,111.2
2020-05-14,Bakery,218.95,R2,0.5,Primary recipe,109.475
2020-05-14,Bakery,218.95,R4,0.5,Alternative recipe,109.475
2020-05-15,Bakery,187.59,R2,0.5,Primary recipe,93.795
2020-05-15,Bakery,187.59,R4,0.5,Alternative recipe,93.795
2020-05-16,Bakery,191.22,R2,0.5,Primary recipe,95.61
2020-05-16,Bakery,191.22,R4,0.5,Alternative recipe,95.61
2020-05-17,Bakery,233.19,R2,0.5,Primary recipe,116.595
2020-05-17,Bakery,233.19,R4,0.5,Alternative recipe,116.595
2020-05-18,Bakery,214.11,R2,0.5,Primary recipe,107.055
2020-05-18,Bakery,214.11,R4,0.5,Alternative recipe,107.055
2020-05-19,Bakery,209.99,R2,0.5,Primary recipe,104.995
2020-05-19,Bakery,209.99,R4,0.5,Alternative recipe,104.995
2020-05-20,Bakery,233.66,R2,0.5,Primary recipe,116.83
2020-05-20,Bakery,233.66,R4,0.5,Alternative recipe,116.83
2020-05-21,Bakery,209.64999999999998,R2,0.5,Primary recipe,104.82499999999999
2020-05-21,Bakery,209.64999999999998,R4,0.5,Alternative recipe,104.82499999999999
2020-05-22,Bakery,170.63,R2,0.5,Primary recipe,85.315
2020-05-22,Bakery,170.63,R4,0.5,Alternative recipe,85.315
2020-05-23,Bakery,194.15,R2,0.5,Primary recipe,97.075
2020-05-23,Bakery,194.15,R4,0.5,Alternative recipe,97.075
2020-05-24,Bakery,86.83,R2,0.5,Primary recipe,43.415
2020-05-24,Bakery,86.83,R4,0.5,Alternative recipe,43.415
2020-05-25,Bakery,89.9,R2,0.5,Primary recipe,44.95
2020-05-25,Bakery,89.9,R4,0.5,Alternative recipe,44.95
2020-05-26,Bakery,86.14,R2,0.5,Primary recipe,43.07
2020-05-26,Bakery,86.14,R4,0.5,Alternative recipe,43.07
2020-05-27,Bakery,90.89,R2,0.5,Primary recipe,45.445
2020-05-27,Bakery,90.89,R4,0.5,Alternative recipe,45.445
2020-05-28,Bakery,84.31,R2,0.5,Primary recipe,42.155
2020-05-28,Bakery,84.31,R4,0.5,Alternative recipe,42.155
2020-05-29,Bakery,72.45,R2,0.5,Primary recipe,36.225
2020-05-29,Bakery,72.45,R4,0.5,Alternative recipe,36.225
2020-05-30,Bakery,70.2,R2,0.5,Primary recipe,35.1
2020-05-30,Bakery,70.2,R4,0.5,Alternative recipe,35.1
2020-05-31,Bakery,89.21000000000001,R2,0.5,Primary recipe,44.605000000000004
2020-05-31,Bakery,89.21000000000001,R4,0.5,Alternative recipe,44.605000000000004
2020-06-01,Bakery,78.21000000000001,R2,0.5,Primary recipe,39.105000000000004
2020-06-01,Bakery,78.21000000000001,R4,0.5,Alternative recipe,39.105000000000004
2020-06-02,Bakery,86.51,R2,0.5,Primary recipe,43.255
2020-06-02,Bakery,86.51,R4,0.5,Alternative recipe,43.255
2020-06-03,Bakery,79.58,R2,0.5,Primary recipe,39.79
2020-06-03,Bakery,79.58,R4,0.5,Alternative recipe,39.79
2020-06-04,Bakery,84.7,R2,0.5,Primary recipe,42.35
2020-06-04,Bakery,84.7,R4,0.5,Alternative recipe,42.35
2020-06-05,Bakery,72.31,R2,0.5,Primary recipe,36.155
2020-06-05,Bakery,72.31,R4,0.5,Alternative recipe,36.155
2020-06-06,Bakery,68.69,R2,0.5,Primary recipe,34.345
2020-06-06,Bakery,68.69,R4,0.5,Alternative recipe,34.345
2020-06-07,Bakery,83.33,R2,0.5,Primary recipe,41.665
2020-06-07,Bakery,83.33,R4,0.5,Alternative recipe,41.665
2020-06-08,Bakery,79.78,R2,0.5,Primary recipe,39.89
2020-06-08,Bakery,79.78,R4,0.5,Alternative recipe,39.89
2020-06-09,Bakery,87.63,R2,0.5,Primary recipe,43.815
2020-06-09,Bakery,87.63,R4,0.5,Alternative recipe,43.815
2020-06-10,Bakery,89.64,R2,0.5,Primary recipe,44.82
2020-06-10,Bakery,89.64,R4,0.5,Alternative recipe,44.82
2020-06-11,Bakery,83.32000000000001,R2,0.5,Primary recipe,41.660000000000004
2020-06-11,Bakery,83.32000000000001,R4,0.5,Alternative recipe,41.660000000000004
2020-06-12,Bakery,71.2,R2,0.5,Primary recipe,35.6
2020-06-12,Bakery,71.2,R4,0.5,Alternative recipe,35.6
2020-06-13,Bakery,73.14,R2,0.5,Primary recipe,36.57
2020-06-13,Bakery,73.14,R4,0.5,Alternative recipe,36.57
2020-06-14,Bakery,92.92,R2,0.5,Primary recipe,46.46
2020-06-14,Bakery,92.92,R4,0.5,Alternative recipe,46.46
2020-06-15,Bakery,91.28,R2,0.5,Primary recipe,45.64
2020-06-15,Bakery,91.28,R4,0.5,Alternative recipe,45.64
2020-06-16,Bakery,94.1,R2,0.5,Primary recipe,47.05
2020-06-16,Bakery,94.1,R4,0.5,Alternative recipe,47.05
2020-06-17,Bakery,83.35,R2,0.5,Primary recipe,41.675
2020-06-17,Bakery,83.35,R4,0.5,Alternative recipe,41.675
2020-06-18,Bakery,89.52,R2,0.5,Primary recipe,44.76
2020-06-18,Bakery,89.52,R4,0.5,Alternative recipe,44.76
2020-06-19,Bakery,69.46000000000001,R2,0.5,Primary recipe,34.730000000000004
2020-06-19,Bakery,69.46000000000001,R4,0.5,Alternative recipe,34.730000000000004
2020-06-20,Bakery,69.98,R2,0.5,Primary recipe,34.99
2020-06-20,Bakery,69.98,R4,0.5,Alternative recipe,34.99
2020-06-21,Bakery,83.09,R2,0.5,Primary recipe,41.545
2020-06-21,Bakery,83.09,R4,0.5,Alternative recipe,41.545
2020-06-22,Bakery,81.1,R2,0.5,Primary recipe,40.55
2020-06-22,Bakery,81.1,R4,0.5,Alternative recipe,40.55
2020-06-23,Bakery,88.89,R2,0.5,Primary recipe,44.445
2020-06-23,Bakery,88.89,R4,0.5,Alternative recipe,44.445
2020-06-24,Bakery,85.66,R2,0.5,Primary recipe,42.83
2020-06-24,Bakery,85.66,R4,0.5,Alternative recipe,42.83
2020-06-25,Bakery,86.39,R2,0.5,Primary recipe,43.195
2020-06-25,Bakery,86.39,R4,0.5,Alternative recipe,43.195
2020-06-26,Bakery,65.86,R2,0.5,Primary recipe,32.93
2020-06-26,Bakery,65.86,R4,0.5,Alternative recipe,32.93
2020-06-27,Bakery,67.9,R2,0.5,Primary recipe,33.95
2020-06-27,Bakery,67.9,R4,0.5,Alternative recipe,33.95
2020-06-28,Bakery,73.91,R2,0.5,Primary recipe,36.955
2020-06-28,Bakery,73.91,R4,0.5,Alternative recipe,36.955
2020-06-29,Bakery,74.72999999999999,R2,0.5,Primary recipe,37.364999999999995
2020-06-29,Bakery,74.72999999999999,R4,0.5,Alternative recipe,37.364999999999995
2020-06-30,Bakery,82.58,R2,0.5,Primary recipe,41.29
2020-06-30,Bakery,82.58,R4,0.5,Alternative recipe,41.29
2020-07-01,Bakery,142.10999999999999,R2,0.5,Primary recipe,71.05499999999999
2020-07-01,Bakery,142.10999999999999,R4,0.5,Alternative recipe,71.05499999999999
2020-07-02,Bakery,143.88,R2,0.5,Primary recipe,71.94
2020-07-02,Bakery,143.88,R4,0.5,Alternative recipe,71.94
2020-07-03,Bakery,114.53999999999999,R2,0.5,Primary recipe,57.269999999999996
2020-07-03,Bakery,114.53999999999999,R4,0.5,Alternative recipe,57.269999999999996
2020-07-04,Bakery,128.39,R2,0.5,Primary recipe,64.195
2020-07-04,Bakery,128.39,R4,0.5,Alternative recipe,64.195
2020-07-05,Bakery,128.78,R2,0.5,Primary recipe,64.39
2020-07-05,Bakery,128.78,R4,0.5,Alternative recipe,64.39
2020-07-06,Bakery,145.51,R2,0.5,Primary recipe,72.755
2020-07-06,Bakery,145.51,R4,0.5,Alternative recipe,72.755
2020-07-07,Bakery,136.77,R2,0.5,Primary recipe,68.385
2020-07-07,Bakery,136.77,R4,0.5,Alternative recipe,68.385
2020-07-08,Bakery,144.84,R2,0.5,Primary recipe,72.42
2020-07-08,Bakery,144.84,R4,0.5,Alternative recipe,72.42
2020-07-09,Bakery,144.01,R2,0.5,Primary recipe,72.005
2020-07-09,Bakery,144.01,R4,0.5,Alternative recipe,72.005
2020-07-10,Bakery,117.12,R2,0.5,Primary recipe,58.56
2020-07-10,Bakery,117.12,R4,0.5,Alternative recipe,58.56
2020-07-11,Bakery,120.25999999999999,R2,0.5,Primary recipe,60.129999999999995
2020-07-11,Bakery,120.25999999999999,R4,0.5,Alternative recipe,60.129999999999995
2020-07-12,Bakery,149.49,R2,0.5,Primary recipe,74.745
2020-07-12,Bakery,149.49,R4,0.5,Alternative recipe,74.745
2020-07-13,Bakery,139.14,R2,0.5,Primary recipe,69.57
2020-07-13,Bakery,139.14,R4,0.5,Alternative recipe,69.57
2020-07-14,Bakery,142.69,R2,0.5,Primary recipe,71.345
2020-07-14,Bakery,142.69,R4,0.5,Alternative recipe,71.345
2020-07-15,Bakery,146.98,R2,0.5,Primary recipe,73.49
